,Ticket,Actual EPS,Bloomberg Estimated EPS,Announcement Date,Start,End
639,OC UN Equity,0.86,1.076,7/26/17,2/2/17,1/17/18
640,ODFL UW Equity,1.2,1.097,7/27/17,2/3/17,1/18/18
641,OFC UN Equity,0.08,0.178,7/27/17,2/3/17,1/18/18
642,OGE UN Equity,0.52,0.466,8/3/17,2/10/17,1/25/18
643,OHI UN Equity,0.33,0.472,7/26/17,2/2/17,1/17/18
644,OI UN Equity,0.86,0.668,7/31/17,2/7/17,1/22/18
645,OKE UN Equity,0.34,0.43,8/1/17,2/8/17,1/23/18
647,OLED UW Equity,0.99,0.727,8/3/17,2/10/17,1/25/18
648,OLN UN Equity,-0.04,0.081,7/31/17,2/7/17,1/22/18
649,OMC UN Equity,1.41,1.379,7/20/17,1/27/17,1/10/18
650,OMF UN Equity,0.31,0.882,8/2/17,2/9/17,1/24/18
651,ON UW Equity,0.22,0.324,8/6/17,2/13/17,1/26/18
652,ORCL UN Equity,0.5,0.6,12/15/16,6/27/16,6/9/17
653,ORI UN Equity,0.39,0.36,7/27/17,2/3/17,1/18/18
654,ORLY UW Equity,3.14,2.891,7/26/17,2/2/17,1/17/18
655,OSK UN Equity,0.59,0.742,4/26/17,11/1/16,10/16/17
656,OUT UN Equity,0.27,0.225,8/3/17,2/10/17,1/25/18
657,OXY UN Equity,0.66,0.089,8/2/17,2/9/17,1/24/18
658,OZK UW Equity,0.73,0.73,7/12/17,1/19/17,1/2/18
659,PACW UW Equity,0.77,0.708,7/18/17,1/25/17,1/8/18
660,PAG UN Equity,1.23,1.207,7/27/17,2/3/17,1/18/18
661,PAH UN Equity,-0.21,0.187,8/9/17,2/16/17,1/31/18
662,PANW UN Equity,-0.67,0.623,2/28/17,9/6/16,8/18/17
663,PAYC UN Equity,0.34,0.202,8/1/17,2/8/17,1/23/18
664,PAYX UW Equity,0.56,0.555,12/21/16,7/1/16,6/15/17
665,PB UN Equity,0.99,0.999,7/26/17,2/2/17,1/17/18
666,PBCT UW Equity,0.2,0.228,7/20/17,1/27/17,1/10/18
667,PBF UN Equity,-1.01,0.016,8/3/17,2/10/17,1/25/18
668,PCAR UW Equity,1.06,0.987,7/25/17,2/1/17,1/16/18
669,PCG UN Equity,0.79,0.781,7/27/17,2/3/17,1/18/18
670,PE UN Equity,0.17,0.103,8/2/17,2/9/17,1/24/18
671,PEG UN Equity,0.22,0.582,7/28/17,2/6/17,1/19/18
672,PEGA UW Equity,0.05,0.17,8/9/17,2/16/17,1/31/18
673,PEN UN Equity,-0.05,-0.026,8/8/17,2/15/17,1/30/18
674,PEP UW Equity,1.47,1.397,7/11/17,1/18/17,12/29/17
675,PFE UN Equity,0.52,0.657,8/1/17,2/8/17,1/23/18
676,PFG UW Equity,1.07,1.224,7/27/17,2/3/17,1/18/18
677,PFPT UQ Equity,-0.54,0.123,7/27/17,2/3/17,1/18/18
678,PG UN Equity,3.01,1.062,1/20/17,7/29/16,7/13/17
679,PGR UN Equity,0.63,0.592,7/18/17,1/25/17,1/8/18
680,PGRE UN Equity,0.44,-0.006,8/3/17,2/10/17,1/25/18
681,PH UN Equity,1.81,1.39,2/2/17,8/11/16,7/26/17
682,PHM UN Equity,0.32,0.448,7/25/17,2/1/17,1/16/18
683,PII UN Equity,0.99,1.078,7/20/17,1/27/17,1/10/18
684,PINC UW Equity,8.095358,0.441,2/6/17,8/15/16,7/28/17
685,PK UN Equity,0.52,0.406,8/2/17,2/9/17,1/24/18
686,PKG UN Equity,1.52,1.473,7/26/17,2/2/17,1/17/18
687,PKI UN Equity,1.86,0.669,8/3/17,2/10/17,1/25/18
688,PLD UN Equity,0.5,0.426,7/18/17,1/25/17,1/8/18
689,PM UN Equity,1.14,1.228,7/20/17,1/27/17,1/10/18
690,PNC UN Equity,2.12,2.016,7/14/17,1/23/17,1/4/18
691,PNFP UW Equity,0.81,0.8,7/18/17,1/25/17,1/8/18
692,PNR UN Equity,1.45,0.997,7/25/17,2/1/17,1/16/18
693,PNW UN Equity,1.5,1.173,8/3/17,2/10/17,1/25/18
694,PODD UW Equity,-0.13,-0.127,8/3/17,2/10/17,1/25/18
695,POOL UW Equity,2.3,2.239,7/20/17,1/27/17,1/10/18
696,POST UN Equity,-0.08,0.579,5/8/17,11/11/16,10/26/17
697,PPC UW Equity,0.94,0.833,8/2/17,2/9/17,1/24/18
699,PPL UN Equity,0.43,0.495,8/3/17,2/10/17,1/25/18
700,PRAH UW Equity,0.47,0.742,8/7/17,2/14/17,1/29/18
701,PRGO UN Equity,-0.49,0.922,8/10/17,2/17/17,2/1/18
702,PRU UN Equity,1.13,2.703,8/2/17,2/9/17,1/24/18
704,PSA UN Equity,1.59,1.8,7/26/17,2/2/17,1/17/18
705,PSTG UN Equity,-0.31,-0.232,8/25/16,3/7/16,2/16/17
706,PSX UN Equity,1.06,1.009,8/1/17,2/8/17,1/23/18
707,PTC UW Equity,-0.01,0.283,4/19/17,10/25/16,10/9/17
708,PTEN UW Equity,-0.46,-0.297,7/27/17,2/3/17,1/18/18
709,PVH UN Equity,1.12,1.288,8/24/16,3/4/16,2/15/17
710,PWR UN Equity,0.41,0.532,8/3/17,2/10/17,1/25/18
711,PXD UN Equity,1.36,0.116,8/1/17,2/8/17,1/23/18
712,PYPL UW Equity,0.34,0.427,7/26/17,2/2/17,1/17/18
713,QCOM UW Equity,0.51,1.185,4/19/17,10/25/16,10/9/17
715,QGEN UN Equity,0.06,0.287,7/27/17,2/3/17,1/18/18
717,QRVO UW Equity,0.09,1.407,11/3/16,5/16/16,4/28/17
718,R UN Equity,0.96,0.95,7/26/17,2/2/17,1/17/18
719,RBC UN Equity,1.19,1.281,8/7/17,2/14/17,1/29/18
720,RCL UN Equity,1.72,1.666,8/1/17,2/8/17,1/23/18
721,RE UN Equity,5.98,5.236,7/24/17,1/31/17,1/12/18
722,REG UW Equity,0.28,0.39,8/3/17,2/10/17,1/25/18
723,REGN UW Equity,3.66,3.168,8/3/17,2/10/17,1/25/18
724,RES UN Equity,0.2,0.13,7/26/17,2/2/17,1/17/18
726,RF UN Equity,0.25,0.24,7/21/17,1/30/17,1/11/18
727,RGA UN Equity,3.6,2.478,7/27/17,2/3/17,1/18/18
728,RGLD UW Equity,0.43,0.355,2/1/17,8/10/16,7/25/17
729,RHI UN Equity,0.64,0.659,7/25/17,2/1/17,1/16/18
730,RHT UN Equity,0.33,0.539,9/21/16,4/1/16,3/15/17
731,RIG UN Equity,-4.32,-0.088,8/2/17,2/9/17,1/24/18
732,RJF UN Equity,0.78,1.136,4/26/17,11/1/16,10/16/17
733,RL UN Equity,0.55,1.714,11/10/16,5/23/16,5/5/17
734,RLGY UN Equity,0.79,0.745,8/3/17,2/10/17,1/25/18
735,RMD UN Equity,0.54,0.684,1/23/17,8/1/16,7/14/17
736,RNG UN Equity,-0.03,0.03,8/2/17,2/9/17,1/24/18
737,RNR UN Equity,4.25,2.354,7/25/17,2/1/17,1/16/18
738,ROK UN Equity,1.47,1.402,4/26/17,11/1/16,10/16/17
739,ROL UN Equity,0.25,0.245,7/26/17,2/2/17,1/17/18
740,ROP UN Equity,1.76,2.218,7/31/17,2/7/17,1/22/18
741,ROST UW Equity,0.72,0.674,8/18/16,2/29/16,2/9/17
742,RP UW Equity,0.08,0.222,8/2/17,2/9/17,1/24/18
743,RPAI UN Equity,0.48,0.04,8/1/17,2/8/17,1/23/18
744,RPM UN Equity,-0.54,0.605,1/5/17,7/15/16,6/28/17
745,RRC UN Equity,0.28,0.079,8/1/17,2/8/17,1/23/18
746,RS UN Equity,1.41,1.369,7/27/17,2/3/17,1/18/18
747,RSG UN Equity,0.6,0.598,7/27/17,2/3/17,1/18/18
748,RTN UN Equity,1.9,1.756,7/27/17,2/3/17,1/18/18
750,RYN UN Equity,0.2,0.105,8/2/17,2/9/17,1/24/18
751,S UN Equity,-0.04,-0.082,10/25/16,5/5/16,4/19/17
752,SABR UW Equity,-0.02,0.351,8/1/17,2/8/17,1/23/18
753,SAGE UQ Equity,-1.88,-1.637,8/3/17,2/10/17,1/25/18
754,SATS UW Equity,0.07,0.095,8/9/17,2/16/17,1/31/18
755,SBAC UW Equity,0.08,0.195,7/31/17,2/7/17,1/22/18
756,SBNY UW Equity,0.26,2.214,7/19/17,1/26/17,1/9/18
757,SBUX UW Equity,0.45,0.448,4/27/17,11/2/16,10/17/17
758,SC UN Equity,0.74,0.605,7/28/17,2/6/17,1/19/18
759,SCCO UN Equity,0.39,0.417,7/27/17,2/3/17,1/18/18
760,SCG UN Equity,0.85,0.743,8/3/17,2/10/17,1/25/18
761,SCHW UN Equity,0.4,0.388,7/18/17,1/25/17,1/8/18
762,SCI UN Equity,0.37,0.303,7/26/17,2/2/17,1/17/18
764,SEE UN Equity,0.53,0.356,8/8/17,2/15/17,1/30/18
765,SEIC UW Equity,0.58,0.552,7/26/17,2/2/17,1/17/18
766,SERV UN Equity,0.64,0.683,7/31/17,2/7/17,1/22/18
767,SFM UW Equity,0.3,0.25,8/3/17,2/10/17,1/25/18
768,SGEN UW Equity,-0.39,-0.407,7/27/17,2/3/17,1/18/18
769,SHW UN Equity,3.44,4.638,7/20/17,1/27/17,1/10/18
770,SIRI UW Equity,0.04,0.042,7/27/17,2/3/17,1/18/18
771,SITC UN Equity,0.12,0.013,7/26/17,2/2/17,1/17/18
772,SIVB UW Equity,2.34,2.025,7/27/17,2/3/17,1/18/18
773,SIX UN Equity,0.6,0.716,7/26/17,2/2/17,1/17/18
774,SJM UN Equity,1.52,1.927,11/17/16,5/31/16,5/12/17
775,SKX UN Equity,0.38,0.441,7/20/17,1/27/17,1/10/18
776,SLB UN Equity,-0.05,0.298,7/21/17,1/30/17,1/11/18
777,SLG UN Equity,0.08,0.545,7/19/17,1/26/17,1/9/18
778,SLGN UW Equity,0.25,0.352,7/26/17,2/2/17,1/17/18
779,SLM UW Equity,0.15,0.164,7/19/17,1/26/17,1/9/18
780,SM UN Equity,-1.08,-0.292,8/3/17,2/10/17,1/25/18
781,SMG UN Equity,2.76,2.904,5/2/17,11/7/16,10/20/17
782,SNA UN Equity,2.65,2.556,7/20/17,1/27/17,1/10/18
784,SNH UW Equity,0.07,0.148,8/3/17,2/10/17,1/25/18
785,SNPS UW Equity,0.35,0.858,5/17/17,11/22/16,11/6/17
786,SNV UN Equity,0.6,0.591,7/18/17,1/25/17,1/8/18
787,SO UN Equity,-1.38,0.709,8/2/17,2/9/17,1/24/18
788,SON UN Equity,0.43,0.701,7/20/17,1/27/17,1/10/18
790,SPG UN Equity,1.23,1.13,8/1/17,2/8/17,1/23/18
791,SPGI UN Equity,1.63,1.576,7/27/17,2/3/17,1/18/18
792,SPLK UW Equity,-0.65,0.034,8/25/16,3/7/16,2/16/17
793,SPR UN Equity,-0.48,1.196,8/2/17,2/9/17,1/24/18
794,SQ UN Equity,-0.04,0.05,8/2/17,2/9/17,1/24/18
795,SRC UN Equity,0.05,0.069,8/3/17,2/10/17,1/25/18
796,SRCL UW Equity,-1.74,1.128,8/3/17,2/10/17,1/25/18
797,SRE UN Equity,1.03,0.859,8/4/17,2/13/17,1/26/18
799,SSNC UW Equity,0.25,0.462,7/27/17,2/3/17,1/18/18
800,ST UN Equity,0.46,0.784,7/25/17,2/1/17,1/16/18
801,STAY UW Equity,0.257098,0.308,8/1/17,2/8/17,1/23/18
802,STE UN Equity,0.47,0.897,11/2/16,5/13/16,4/27/17
803,STI UN Equity,1.05,0.987,7/21/17,1/30/17,1/11/18
804,STL UN Equity,0.31,0.33,7/25/17,2/1/17,1/16/18
805,STLD UW Equity,0.64,0.63,7/19/17,1/26/17,1/9/18
806,STOR UN Equity,0.353639,0.198,8/3/17,2/10/17,1/25/18
807,STT UN Equity,1.56,1.572,7/26/17,2/2/17,1/17/18
808,STWD UN Equity,0.45,0.509,8/9/17,2/16/17,1/31/18
809,STZ UN Equity,1.787235,1.655,10/5/16,4/15/16,3/29/17
810,SUI UN Equity,0.16,0.16,7/26/17,2/2/17,1/17/18
812,SWK UN Equity,1.86,1.964,7/24/17,1/31/17,1/12/18
813,SWKS UW Equity,1.22,1.401,4/27/17,11/2/16,10/17/17
814,SYF UN Equity,0.62,0.572,7/21/17,1/30/17,1/11/18
815,SYK UN Equity,1.04,1.509,7/27/17,2/3/17,1/18/18
816,SYMC UW Equity,-0.23,0.201,11/3/16,5/16/16,4/28/17
817,SYY UN Equity,0.5,0.542,2/6/17,8/15/16,7/28/17
818,T UN Equity,0.63,0.736,7/25/17,2/1/17,1/16/18
819,TAP UN Equity,1.53,2.117,8/2/17,2/9/17,1/24/18
820,TCBI UW Equity,0.98,0.948,7/19/17,1/26/17,1/9/18
821,TCF UN Equity,0.33,0.299,7/24/17,1/31/17,1/12/18
822,TCO UN Equity,0.22,0.178,7/27/17,2/3/17,1/18/18
