,Ticket,Actual EPS,Bloomberg Estimated EPS,Announcement Date,Start,End
941,WLL UN Equity,-0.72,-0.777,7/26/17,2/2/17,1/17/18
942,WLTW UW Equity,0.24,1.499,8/3/17,2/10/17,1/25/18
943,WM UN Equity,0.82,0.813,7/26/17,2/2/17,1/17/18
944,WMB UN Equity,0.1,0.194,8/2/17,2/9/17,1/24/18
945,WMT UN Equity,1.21,1.018,8/18/16,2/29/16,2/9/17
946,WP UN Equity,0.43,0.824,8/9/17,2/16/17,1/31/18
947,WPC UN Equity,0.6,0.57,8/4/17,2/13/17,1/26/18
948,WPX UN Equity,0.18,-0.149,8/2/17,2/9/17,1/24/18
949,WRB UN Equity,0.87,0.767,7/25/17,2/1/17,1/16/18
950,WRI UN Equity,0.5,0.242,7/27/17,2/3/17,1/18/18
951,WRK UN Equity,0.41,0.461,4/26/17,11/1/16,10/16/17
952,WSM UN Equity,0.58,0.58,8/24/16,3/4/16,2/15/17
953,WSO UN Equity,2.07,2.041,7/25/17,2/1/17,1/16/18
954,WST UN Equity,0.53,0.648,7/27/17,2/3/17,1/18/18
955,WTFC UW Equity,1.15,0.993,7/18/17,1/25/17,1/8/18
956,WTM UN Equity,2.97,1.12,8/4/17,2/13/17,1/26/18
957,WTR UN Equity,0.34,0.34,8/2/17,2/9/17,1/24/18
958,WU UN Equity,0.35,0.417,8/3/17,2/10/17,1/25/18
959,WY UN Equity,0.03,0.273,7/28/17,2/6/17,1/19/18
960,WYND UN Equity,0.82,1.495,8/2/17,2/9/17,1/24/18
961,WYNN UW Equity,0.73,1.175,7/25/17,2/1/17,1/16/18
962,X UN Equity,1.49,0.358,7/25/17,2/1/17,1/16/18
963,XEC UN Equity,1.02,0.948,8/8/17,2/15/17,1/30/18
964,XEL UW Equity,0.45,0.419,7/27/17,2/3/17,1/18/18
965,XLNX UW Equity,0.65,0.546,10/19/16,4/29/16,4/12/17
966,XOG UW Equity,0.02,-0.048,8/9/17,2/16/17,1/31/18
967,XOM UN Equity,0.78,0.843,7/28/17,2/6/17,1/19/18
968,XPO UN Equity,0.43,0.604,8/2/17,2/9/17,1/24/18
969,XRAY UW Equity,-4.58,0.652,8/9/17,2/16/17,1/31/18
970,XRX UN Equity,0.64,0.798,8/1/17,2/8/17,1/23/18
971,XYL UN Equity,0.55,0.569,8/1/17,2/8/17,1/23/18
972,Y UN Equity,6.6,7.95,8/3/17,2/10/17,1/25/18
973,YUM UN Equity,0.59,0.619,8/3/17,2/10/17,1/25/18
974,YUMC UN Equity,0.32,0.274,7/5/17,1/11/17,12/22/17
976,ZAYO UN Equity,0.08,0.08,2/9/17,8/18/16,8/2/17
977,ZBH UN Equity,0.91,2.085,7/27/17,2/3/17,1/18/18
978,ZBRA UW Equity,0.33,1.48,8/8/17,2/15/17,1/30/18
979,ZEN UN Equity,-0.26,-0.055,8/3/17,2/10/17,1/25/18
980,ZG UW Equity,-0.12,-0.01,8/8/17,2/15/17,1/30/18
981,ZION UW Equity,0.76,0.621,7/25/17,2/1/17,1/16/18
982,ZNGA UW Equity,0.01,0.018,8/2/17,2/9/17,1/24/18
983,ZTS UN Equity,0.5,0.527,8/8/17,2/15/17,1/30/18
